时间,东门,西门,南门,北门
00:00,5,1,23,6
00:10,4,0,23,4
00:20,4,1,23,5
00:30,4,1,22,4
00:40,6,1,22,5
00:50,6,2,22,5
01:00,7,3,23,5
01:10,7,4,23,5
01:20,6,5,23,6
01:30,6,5,23,7
01:40,6,6,23,7
01:50,7,6,23,8
02:00,8,6,23,9
02:10,9,9,23,10
02:20,9,9,23,11
02:30,11,10,24,11
02:40,12,13,24,11
02:50,12,14,24,12
03:00,15,15,24,12
03:10,20,18,24,13
03:20,20,20,24,13
03:30,22,22,26,15
03:40,24,24,27,16
03:50,25,24,27,16
04:00,26,24,27,16
04:10,29,26,27,18
04:20,33,26,28,19
04:30,35,30,29,21
04:40,36,32,29,21
04:50,40,32,30,21
05:00,40,33,30,22
05:10,41,35,30,22
05:20,42,35,30,23
05:30,43,36,31,23
05:40,43,37,31,24
05:50,48,37,31,24
06:00,48,39,32,24
