时间,东门,西门,南门,北门
00:00,4,15,37,17
00:10,5,15,37,18
00:30,7,15,38,20
00:40,8,15,38,21
00:50,7,15,38,21
01:00,7,15,38,21
01:10,8,14,38,21
01:20,9,14,38,21
01:30,11,14,40,21
01:40,11,14,40,20
01:50,11,15,40,20
02:00,12,16,40,21
02:10,13,17,40,22
02:20,13,22,40,23
02:30,14,22,40,23
02:40,15,23,40,23
02:50,16,23,40,23
03:00,18,23,40,24
03:10,19,23,40,24
03:20,20,25,40,25
03:30,22,28,40,25
03:40,22,29,40,25
03:50,27,29,40,26
04:00,28,29,40,26
04:10,29,29,40,26
04:20,30,30,40,26
04:30,31,34,40,26
04:40,33,35,40,26
04:50,36,36,40,27
05:00,41,36,40,27
05:10,41,36,40,28
05:20,41,37,40,28
05:30,41,39,40,28
05:40,43,39,40,28
05:50,46,39,40,29
06:00,47,41,40,30
06:10,49,41,40,30
06:20,51,44,40,31
06:30,55,44,40,31
06:40,56,46,40,32
06:50,57,47,40,32
07:00,58,47,40,33
07:10,58,47,40,33
07:20,62,49,40,33
07:30,62,49,40,32
07:40,64,49,40,31
07:50,64,49,40,31
08:00,65,49,40,31
08:10,61,48,40,32
08:20,59,48,40,32
08:30,60,49,40,31
08:40,59,49,39,30
08:50,60,49,39,29
09:00,60,50,39,28
09:10,59,48,37,28
09:20,57,47,37,28
09:30,55,45,36,28
09:40,55,43,35,26
09:50,52,44,35,25
10:00,52,43,35,25
10:10,51,42,35,23
10:20,51,42,35,21
10:30,53,40,35,20
10:40,51,40,35,21
10:50,50,38,35,20
11:00,48,37,35,19
11:10,45,35,35,18
11:20,43,29,36,16
11:30,39,26,37,16
11:40,34,24,37,15
11:50,32,23,37,15
12:00,30,22,36,12
12:10,28,21,36,10
12:20,26,15,35,7
12:30,20,12,34,6
12:40,15,7,34,6
12:50,15,6,32,6
13:00,11,4,31,4
13:10,11,0,31,3
13:20,5,1,31,2
13:30,3,0,31,2
13:40,3,0,31,3
13:50,1,0,32,3
14:00,0,0,31,4
14:10,0,0,31,3
14:20,1,0,31,2
14:30,1,1,30,2
14:40,0,0,30,4
14:50,1,0,29,2
15:00,0,0,28,2
15:10,2,0,28,4
15:20,2,0,28,4
15:30,3,1,28,5
15:40,3,1,27,4
15:50,2,2,28,4
16:00,2,2,27,6
16:10,2,3,27,5
16:20,2,2,27,5
16:30,1,7,27,4
16:40,3,8,27,5
16:50,3,8,26,5
17:00,4,10,27,6
17:10,2,8,27,5
17:20,3,7,26,4
17:30,3,6,26,4
17:40,7,2,28,4
17:50,6,3,28,3
18:00,9,1,25,2
18:10,6,0,24,1
18:20,7,1,25,1
18:30,6,2,25,0
18:40,4,2,24,1
18:50,3,1,23,1
19:00,2,0,23,1
19:10,0,1,24,0
19:20,0,1,23,0
19:30,1,5,23,0
19:40,1,6,24,1
19:50,4,6,24,3
20:00,3,7,25,1
