时间,东门,西门,南门,北门
00:00,2,10,10,1
00:10,7,11,21,1
00:20,6,12,21,1
00:30,8,11,21,1
00:40,9,12,21,1
00:50,9,12,23,1
01:00,10,12,23,1
01:10,11,13,23,2
01:20,13,13,23,3
01:30,13,13,23,3
01:40,13,14,23,3
01:50,14,15,23,6
02:00,15,18,23,7
02:10,16,17,23,7
02:20,19,17,23,8
02:30,20,17,23,11
02:40,22,18,23,11
02:50,26,21,24,11
03:00,29,23,24,11
03:10,31,23,25,11
03:20,31,25,27,11
03:30,33,26,27,11
03:40,34,27,27,12
03:50,38,28,27,15
04:00,39,29,28,17
04:10,42,29,28,18
04:20,43,30,29,18
04:30,44,32,29,18
04:40,44,33,30,18
04:50,45,34,30,20
05:00,48,34,30,21
05:10,48,34,30,22
05:20,49,34,30,22
05:30,50,35,30,23
05:40,50,36,31,23
05:50,51,37,31,23
06:00,54,38,31,23
06:10,54,39,31,24
06:20,55,39,31,24
06:30,56,40,31,23
06:40,57,41,31,23
06:50,60,42,32,23
07:00,60,43,32,23
07:10,61,46,34,23
07:20,61,47,33,25
07:30,61,46,34,26
07:40,62,48,34,26
07:50,62,48,33,28
08:00,65,50,33,31
08:10,64,49,34,31
08:20,64,50,35,31
08:30,65,49,36,33
08:40,65,50,37,32
08:50,62,48,37,33
09:00,62,48,37,32
09:10,62,46,37,31
09:20,61,44,38,31
09:30,61,40,38,32
09:40,59,38,39,32
09:50,59,38,39,30
10:00,58,38,39,28
10:10,54,36,39,27
10:20,54,35,39,25
10:30,53,34,38,25
10:40,52,33,38,25
10:50,50,32,38,25
11:00,49,31,38,25
11:10,46,30,37,24
11:20,45,29,37,24
11:30,44,29,37,22
11:40,41,27,38,21
11:50,38,27,38,22
12:00,36,27,38,23
12:10,35,24,38,23
12:20,35,23,37,20
12:30,32,20,37,19
12:40,28,16,35,18
12:50,22,14,35,15
13:00,22,12,34,14
13:10,20,11,34,13
13:20,19,9,34,11
13:30,14,5,33,9
13:40,13,5,31,8
13:50,9,6,31,8
14:00,8,6,31,8
